Person Name,Role,Company Name,Classification,Interest Areas,url
Marco Archer,Chief Executive Officer,Cayman Islands Stock Exchange,Service Provider,CLOs/Leveraged Loans,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDIwMjk=
"
Alex Novitski,BNC,Computershare,Service Provider,RMBS (GSE and PLS),"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDIwMjg=
"
Eva Holt,Head of Listings,Cayman Islands Stock Exchange,Service Provider,CLOs/Leveraged Loans,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDIwMjc=
"
Patrick Gervais,"Managing Director, RMBS",KBRA,Service Provider,"RMBS (GSE and PLS), Whole Loan/NPL/RPL","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDIwMjY=
"
Gary Zhu,Deputy Chief Investment Officer,AllianceBernstein,Investor,ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDIwMjU=
"
Jack Kahan,Senior Managing Director,KBRA,Service Provider,"RMBS (GSE and PLS), Whole Loan/NPL/RPL","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDIwMTg=
"
Edward DeVito,Senior Managing Director,KBRA,Service Provider,"RMBS (GSE and PLS), Risk Transfer, Whole Loan/NPL/RPL","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDIwMTc=
"
Fred Perreten,Managing Director,KBRA,Service Provider,CMBS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDIwMTY=
"
Damien Mount,Head of Structured Credit,Silver Point Capital,Investor,ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDIwMTU=
"
Arielle Smelkinson,Senior Director,KBRA,Service Provider,"Commercial ABS (Equipment/Aircraft/Transportation), ABS, Consumer ABS, ESG/PACE/Solar ABS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDIwMTQ=
"
Logan Lowe,Portfolio Manager,,Investor,ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDIwMTM=
"
Philip Mendonca,Portfolio Manager,Sun Life Capital Management,Investor,"Private Credit, ABS, CMBS, RMBS (GSE and PLS), Consumer ABS, ESG/PACE/Solar ABS, Direct Lending, Risk Transfer","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDIwMTI=
"
Rosemary Kelley,Senior Managing Director,KBRA,Service Provider,"CLOs/Leveraged Loans, Commercial ABS (Equipment/Aircraft/Transportation), Private Credit, ABS, CMBS, RMBS (GSE and PLS), Consumer ABS, ESG/PACE/Solar ABS, Direct Lending, Risk Transfer, Whole Loan/NPL/RPL","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDIwMTE=
"
Eric Neglia,"Senior Managing Director, ABS",KBRA,Service Provider,"Commercial ABS (Equipment/Aircraft/Transportation), ABS, Consumer ABS, ESG/PACE/Solar ABS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDIwMDg=
"
Ho Hong Lau,Vice President,"Clarion Capital Partners, LLC",Investor,CLOs/Leveraged Loans,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDIwMDc=
"
Yumi Trapani,Executive Director,Mizuho,Investment Bank or Broker Dealer,"Commercial ABS (Equipment/Aircraft/Transportation), ABS, Consumer ABS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDI5OTU=
"
Peter Perna,"Senior Vice President, Debt Capital Markets",Bayview Asset Management LLC,Investor,"CLOs/Leveraged Loans, Commercial ABS (Equipment/Aircraft/Transportation), Private Credit, ABS, CMBS, RMBS (GSE and PLS), Consumer ABS, ESG/PACE/Solar ABS, Direct Lending, Distressed Debt, Corporate Funding/Investment, Emerging Markets, Fintech/AI, Regulation/policy, SSA Funding/Investment, Sustainable Finance, Covered Bonds, Risk Transfer, Whole Loan/NPL/RPL, Hybrid Capital, FIG Funding/investment","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDI5OTQ=
"
Margarita Gutierrez-Nuñez,"VP, Corporate Events",Nomura,Investment Bank or Broker Dealer,"CLOs/Leveraged Loans, Private Credit, Emerging Markets, Fintech/AI","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDI5OTI=
"
Nick Turgeon,"Managing Director, Specialty Finance",Castlelake,Investor,Private Credit,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDI5OTA=
"
Bob Post,Managing Director,Blackstone,Investor,CLOs/Leveraged Loans,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDI5ODk=
"
Zach Lerman,Director of Strategic Partnerships,"Paramount Servicing Group, LLC",Service Provider,ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDI5Nzk=
"
Christopher Kim,Vice President,JPMorgan,Investment Bank or Broker Dealer,Consumer ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDI5Nzg=
"
Matt Minese,Senior Analyst,GreensLedge Asset Management,Investor,"CLOs/Leveraged Loans, Commercial ABS (Equipment/Aircraft/Transportation), Private Credit, ABS, CMBS, RMBS (GSE and PLS), Consumer ABS, ESG/PACE/Solar ABS, Direct Lending, Distressed Debt, Corporate Funding/Investment, Emerging Markets, Fintech/AI, Regulation/policy, SSA Funding/Investment, Sustainable Finance, Covered Bonds, Risk Transfer, Whole Loan/NPL/RPL, Hybrid Capital, FIG Funding/investment","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDI5Nzc=
"
Serge Gabovich,Managing Director,Mizuho Americas,Investment Bank or Broker Dealer,"Commercial ABS (Equipment/Aircraft/Transportation), ABS, FIG Funding/investment","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDI5NzY=
"
Roman Burt,Director,Mizuho,Investment Bank or Broker Dealer,"Private Credit, ABS, Consumer ABS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDI5NzU=
"
Matt Natcharian,Managing Director,GreensLedge Asset Management LLC,Investor,"CLOs/Leveraged Loans, Commercial ABS (Equipment/Aircraft/Transportation), Private Credit, ABS, CMBS, RMBS (GSE and PLS), Consumer ABS, ESG/PACE/Solar ABS, Direct Lending, Distressed Debt, Corporate Funding/Investment, Emerging Markets, Fintech/AI, Regulation/policy, SSA Funding/Investment, Sustainable Finance, Covered Bonds, Risk Transfer, Whole Loan/NPL/RPL, Hybrid Capital, FIG Funding/investment","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDI5NzQ=
"
