SBA Loan Number,Maturity Date,Net Rate,Originator Rate,Outstanding Balance,Pool Number,holder
5363029103,09/28/2033,8.95000,3.15500,"$121,775.94",530500,"BMO CAPITAL MARKETS CORP., "
5363659104,09/22/2033,8.95000,3.15500,"$121,958.67",530500,"BMO CAPITAL MARKETS CORP., "
5363899106,09/27/2033,8.95000,3.15500,"$60,829.57",530500,"BMO CAPITAL MARKETS CORP., "
5364179104,09/20/2033,8.95000,3.15500,"$122,140.50",530500,"BMO CAPITAL MARKETS CORP., "
5366709101,09/26/2033,8.95000,2.15500,"$62,772.24",530500,"BMO CAPITAL MARKETS CORP., "
5367549103,09/21/2033,8.95000,3.15500,"$122,095.41",530500,"BMO CAPITAL MARKETS CORP., "
5367689110,09/21/2033,8.95000,3.15500,"$87,013.33",530500,"BMO CAPITAL MARKETS CORP., "
5368779104,09/25/2033,8.95000,3.15500,"$71,305.15",530500,"BMO CAPITAL MARKETS CORP., "
5369119107,10/10/2033,8.95000,1.15500,"$84,890.04",530500,"BMO CAPITAL MARKETS CORP., "
5371759110,09/25/2033,8.95000,3.15500,"$121,958.65",530500,"BMO CAPITAL MARKETS CORP., "
5372649103,09/22/2033,8.95000,3.15500,"$43,905.08",530500,"BMO CAPITAL MARKETS CORP., "
5372659106,09/22/2033,8.95000,3.15500,"$123,125.48",530500,"BMO CAPITAL MARKETS CORP., "
5372859107,09/22/2033,8.95000,3.15500,"$121,958.67",530500,"BMO CAPITAL MARKETS CORP., "
5373009101,09/26/2033,8.95000,3.15500,"$76,776.38",530500,"BMO CAPITAL MARKETS CORP., "
5373309108,09/25/2033,8.95000,3.15500,"$72,687.32",530500,"BMO CAPITAL MARKETS CORP., "
5373519101,09/27/2033,8.95000,3.15500,"$103,142.28",530500,"BMO CAPITAL MARKETS CORP., "
5373759103,09/25/2033,8.95000,3.15500,"$121,912.98",530500,"BMO CAPITAL MARKETS CORP., "
5374059107,09/26/2033,8.95000,3.15500,"$32,308.03",530500,"BMO CAPITAL MARKETS CORP., "
5374669102,09/25/2033,8.95000,3.15500,"$121,912.98",530500,"BMO CAPITAL MARKETS CORP., "
5375199105,10/17/2033,8.95000,1.15500,"$83,839.54",530500,"BMO CAPITAL MARKETS CORP., "
5377719110,09/26/2033,8.95000,3.15500,"$33,123.05",530500,"BMO CAPITAL MARKETS CORP., "
5378249102,09/26/2033,8.95000,3.15500,"$78,401.31",530500,"BMO CAPITAL MARKETS CORP., "
5378309107,09/26/2033,8.95000,3.15500,"$121,867.26",530500,"BMO CAPITAL MARKETS CORP., "
5378429108,09/25/2033,8.95000,3.15500,"$121,912.98",530500,"BMO CAPITAL MARKETS CORP., "
5378789100,09/26/2033,8.95000,3.15500,"$97,849.88",530500,"BMO CAPITAL MARKETS CORP., "
5379739109,09/26/2033,8.95000,3.15500,"$94,555.06",530500,"BMO CAPITAL MARKETS CORP., "
5380039108,09/26/2033,8.95000,3.15500,"$121,912.98",530500,"BMO CAPITAL MARKETS CORP., "
5381599103,09/25/2033,8.95000,3.15500,"$121,867.26",530500,"BMO CAPITAL MARKETS CORP., "
5382259108,09/25/2033,8.95000,3.15500,"$95,173.35",530500,"BMO CAPITAL MARKETS CORP., "
5382279103,09/25/2033,8.95000,2.15500,"$46,928.14",530500,"BMO CAPITAL MARKETS CORP., "
5382649107,09/27/2033,8.95000,3.15500,"$121,821.63",530500,"BMO CAPITAL MARKETS CORP., "
5382669102,09/26/2033,8.95000,3.15500,"$122,427.03",530500,"BMO CAPITAL MARKETS CORP., "
5382679105,09/26/2033,8.95000,3.15500,"$123,572.33",530500,"BMO CAPITAL MARKETS CORP., "
5383919107,09/26/2033,8.95000,3.15500,"$121,912.98",530500,"BMO CAPITAL MARKETS CORP., "
5387559103,09/27/2033,8.95000,3.15500,"$121,821.63",530500,"BMO CAPITAL MARKETS CORP., "
5387889108,09/27/2033,8.95000,3.15500,"$121,821.63",530500,"BMO CAPITAL MARKETS CORP., "
5387919104,09/27/2033,8.95000,3.15500,"$42,475.15",530500,"BMO CAPITAL MARKETS CORP., "
5389209107,09/28/2033,8.95000,3.15500,"$121,821.63",530500,"BMO CAPITAL MARKETS CORP., "
5389949106,09/28/2033,8.95000,3.15500,"$92,584.46",530500,"BMO CAPITAL MARKETS CORP., "
5390029109,09/28/2033,8.95000,3.15500,"$122,399.82",530500,"BMO CAPITAL MARKETS CORP., "
5390119101,09/28/2033,8.95000,3.15500,"$121,775.94",530500,"BMO CAPITAL MARKETS CORP., "
5390209104,09/27/2033,8.95000,3.15500,"$121,821.63",530500,"BMO CAPITAL MARKETS CORP., "
5390519103,09/28/2033,8.95000,3.15500,"$121,821.63",530500,"BMO CAPITAL MARKETS CORP., "
5390849108,09/27/2033,8.95000,3.15500,"$47,171.15",530500,"BMO CAPITAL MARKETS CORP., "
5391059109,09/27/2033,8.95000,3.15500,"$121,821.63",530500,"BMO CAPITAL MARKETS CORP., "
5391109100,09/28/2038,8.95000,3.15500,"$86,426.00",530500,"BMO CAPITAL MARKETS CORP., "
5391279105,09/28/2033,8.95000,3.15500,"$121,775.94",530500,"BMO CAPITAL MARKETS CORP., "
5391419110,09/28/2033,8.95000,3.15500,"$121,821.63",530500,"BMO CAPITAL MARKETS CORP., "
5391499101,09/28/2033,8.95000,3.15500,"$121,821.63",530500,"BMO CAPITAL MARKETS CORP., "
5391509102,09/27/2033,8.95000,3.15500,"$121,821.63",530500,"BMO CAPITAL MARKETS CORP., "
5392739103,09/28/2033,8.95000,3.15500,"$76,341.56",530500,"BMO CAPITAL MARKETS CORP., "
5392919109,09/28/2033,8.95000,3.15500,"$121,821.64",530500,"BMO CAPITAL MARKETS CORP., "
5393609101,09/28/2033,8.95000,3.15500,"$121,821.63",530500,"BMO CAPITAL MARKETS CORP., "
5394229107,09/28/2033,8.95000,3.15500,"$121,775.94",530500,"BMO CAPITAL MARKETS CORP., "
5396639105,09/28/2033,8.95000,3.15500,"$107,162.84",530500,"BMO CAPITAL MARKETS CORP., "
5398679110,09/28/2033,8.95000,3.15500,"$99,081.60",530500,"BMO CAPITAL MARKETS CORP., "
5401289102,09/29/2033,8.95000,3.15500,"$123,756.31",530500,"BMO CAPITAL MARKETS CORP., "
5401839101,09/29/2033,8.95000,3.15500,"$121,775.94",530500,"BMO CAPITAL MARKETS CORP., "
5402119110,09/29/2033,8.95000,3.15500,"$121,775.94",530500,"BMO CAPITAL MARKETS CORP., "
5403649107,09/29/2033,8.95000,3.15500,"$121,775.94",530500,"BMO CAPITAL MARKETS CORP., "
5404019108,09/29/2033,8.95000,3.15500,"$121,775.94",530500,"BMO CAPITAL MARKETS CORP., "
5406799101,09/29/2033,8.95000,3.15500,"$121,775.94",530500,"BMO CAPITAL MARKETS CORP., "
5409989105,09/29/2033,8.95000,3.15500,"$122,901.27",530500,"BMO CAPITAL MARKETS CORP., "
5414959101,09/29/2033,8.95000,3.15500,"$121,775.94",530500,"BMO CAPITAL MARKETS CORP., "
5556209105,12/06/2033,8.95000,1.15500,"$81,421.64",530500,"BMO CAPITAL MARKETS CORP., "
5556409106,12/07/2033,8.95000,1.15500,"$121,941.04",530500,"BMO CAPITAL MARKETS CORP., "
5557789106,11/30/2033,8.95000,1.15500,"$121,294.02",530500,"BMO CAPITAL MARKETS CORP., "
5559679101,12/05/2033,8.95000,1.15500,"$122,094.62",530500,"BMO CAPITAL MARKETS CORP., "
5560889102,12/04/2033,8.95000,1.15500,"$81,419.99",530500,"BMO CAPITAL MARKETS CORP., "
5564199104,12/05/2033,8.95000,1.15500,"$122,132.44",530500,"BMO CAPITAL MARKETS CORP., "
5570499107,12/07/2033,8.95000,1.15500,"$122,053.56",530500,"BMO CAPITAL MARKETS CORP., "
5573559107,12/06/2033,8.95000,1.15500,"$108,008.03",530500,"BMO CAPITAL MARKETS CORP., "
5577079102,12/11/2033,8.95000,1.15500,"$122,084.32",530500,"BMO CAPITAL MARKETS CORP., "
5582829107,12/11/2033,8.95000,1.15500,"$122,093.74",530500,"BMO CAPITAL MARKETS CORP., "
1218819110,11/11/2047,6.12500,2.23000,"$3,592,963.38",530504,"BREAN CAPITAL, LLC, "
1420369110,11/02/2047,6.12500,3.98000,"$1,357,255.04",530504,"BREAN CAPITAL, LLC, "
1547999108,04/15/2047,6.12500,2.98000,"$2,569,570.23",530504,"BREAN CAPITAL, LLC, "
3184749102,01/21/2049,6.12500,2.68000,"$1,110,425.95",530504,"BREAN CAPITAL, LLC, "
3356859108,04/21/2048,6.12500,3.43000,"$797,302.67",530504,"BREAN CAPITAL, LLC, "
